id_prodi,kode_prodi,tahun,daya_tampung,peminat,diterima,keketatan
111042,11111042,2025,60,927,60,6.47%
111043,11111043,2021,40,648,40,6.17%
111043,11111043,2022,54,527,54,10.25%
111043,11111043,2023,50,700,50,7.14%
111043,11111043,2024,60,705,60,8.51%
111043,11111043,2025,60,716,60,8.38%
111044,11111044,2021,100,764,105,13.09%
111044,11111044,2022,110,639,110,17.21%
111044,11111044,2023,124,856,124,14.49%
111044,11111044,2024,168,953,168,17.63%
111044,11111044,2025,168,979,168,17.16%
111045,11111045,2021,25,155,25,16.13%
111045,11111045,2022,25,191,25,13.09%
111045,11111045,2023,28,304,28,9.21%
111045,11111045,2024,42,372,42,11.29%
111045,11111045,2025,42,509,42,8.25%
111046,11111046,2021,25,171,25,14.62%
111046,11111046,2022,25,183,25,13.66%
111046,11111046,2023,28,204,28,13.73%
111046,11111046,2024,36,270,36,13.33%
111046,11111046,2025,36,428,36,8.41%
111047,11111047,2021,25,132,25,18.94%
111047,11111047,2022,25,127,25,19.69%
111047,11111047,2023,28,146,28,19.18%
111047,11111047,2024,48,141,48,34.04%
111047,11111047,2025,48,231,48,20.78%
111048,11111048,2021,25,172,27,14.53%
111048,11111048,2022,25,148,25,16.89%
111048,11111048,2023,28,188,29,14.89%
111048,11111048,2024,48,200,48,24%
111048,11111048,2025,48,282,48,17.02%
111049,11111049,2021,23,261,23,8.81%
111049,11111049,2022,23,208,23,11.06%
111049,11111049,2023,25,323,25,7.74%
111049,11111049,2024,48,409,48,11.74%
111049,11111049,2025,48,509,48,9.43%
111050,11111050,2021,30,322,30,9.32%
111050,11111050,2022,30,248,30,12.1%
111050,11111050,2023,30,343,30,8.75%
111050,11111050,2024,48,377,48,12.73%
111050,11111050,2025,48,430,48,11.16%
111051,11111051,2021,30,227,30,13.22%
111051,11111051,2022,30,239,30,12.55%
111051,11111051,2023,31,110,31,28.18%
111051,11111051,2024,48,136,48,35.29%
111051,11111051,2025,36,186,36,19.35%
111052,11111052,2021,25,408,25,6.13%
111052,11111052,2022,25,372,25,6.72%
111052,11111052,2023,28,433,28,6.47%
111052,11111052,2024,48,415,48,11.57%
111052,11111052,2025,48,409,48,11.74%
111053,11111053,2021,30,92,30,32.61%
111053,11111053,2022,30,66,30,45.45%
111053,11111053,2023,31,181,31,17.13%
111053,11111053,2024,48,223,48,21.52%
